Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Martin A.,Kratochvil M.,39,42,3.0,6.0,6.0,3.0,6.0,3.0,6.0,3.0,,,3,1,Completed,,,2.15,1.67,1.95,1.7,1.75,1.75,1.909,1.8
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Martin T.,Malisse X.,56,32,6.0,3.0,6.0,2.0,6.0,2.0,,,,,3,0,Completed,,,1.85,1.9,1.75,1.9,1.6,1.9,1.727,2.0
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Novak J.,Gaudenzi A.,24,52,2.0,6.0,5.0,7.0,6.0,2.0,6.0,3.0,6.0,3.0,3,2,Completed,,,1.13,5.25,1.13,4.6,1.1,4.5,1.182,4.333
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Pavel A.,Simoni A.,29,108,6.0,1.0,4.0,0.0,,,,,,,1,0,Retired,,,,,,,,,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Pless K.,Arazi H.,82,26,6.0,3.0,6.0,4.0,6.0,1.0,,,,,3,0,Completed,,,2.7,1.45,2.65,1.38,2.3,1.4,2.75,1.4
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Rios M.,Kucera K.,48,81,7.0,6.0,7.0,5.0,6.0,2.0,,,,,3,0,Completed,,,1.6,2.3,1.5,2.3,1.45,2.2,1.571,2.25
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Rusedski G.,Philippoussis M.,25,78,7.0,6.0,6.0,3.0,6.0,4.0,,,,,3,0,Completed,,,2.55,1.48,2.15,1.58,1.9,1.6,2.375,1.533
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Safin M.,Rochus C.,11,73,6.0,2.0,7.0,6.0,6.0,1.0,,,,,3,0,Completed,,,1.13,5.25,1.1,5.25,1.1,4.5,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Sampras P.,Chela J.I.,10,55,6.0,3.0,7.0,5.0,3.0,6.0,6.0,4.0,,,3,1,Completed,,,1.18,4.5,1.15,4.4,1.15,3.8,1.2,4.0
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Schuettler R.,Moya C.,41,19,3.0,6.0,6.0,7.0,6.0,1.0,7.0,6.0,6.0,2.0,3,2,Completed,,,1.9,1.85,1.9,1.75,1.8,1.7,1.833,1.833
