Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Kalinina A.,Kvitova P.,39.0,15.0,1227.0,2221.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,2.5,1.53,2.45,1.6,2.62,1.63,2.42,1.57
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Krejcikova B.,Burel C.,23.0,130.0,1600.0,499.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.17,5.0,1.16,5.76,1.22,5.76,1.17,5.19
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Keys M.,Wang Xin.,13.0,79.0,2318.0,768.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.17,5.0,1.18,5.48,1.2,5.48,1.18,4.94
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Baindl K.,Mcnally C.,95.0,94.0,638.0,661.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,2.5,1.53,2.75,1.49,2.9,1.55,2.6,1.5
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Gauff C.,Raducanu E.,7.0,77.0,3762.0,784.0,6.0,3.0,7.0,6.0,,,2.0,0.0,Completed,1.29,3.75,1.28,3.97,1.34,3.97,1.29,3.64
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Rybakina E.,Juvan K.,25.0,104.0,1585.0,603.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.17,5.0,1.18,5.36,1.2,5.5,1.17,5.01
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Kostyuk M.,Gadecki O.,61.0,199.0,915.0,326.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.14,5.5,1.16,6.03,1.17,6.5,1.14,5.79
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Pera B.,Zheng Q.,41.0,28.0,1145.0,1534.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,3.5,1.3,3.67,1.32,3.67,1.36,3.44,1.32
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Collins D.,Muchova K.,11.0,133.0,2388.0,476.0,6.0,7.0,6.0,2.0,7.0,6.0,2.0,1.0,Completed,1.57,2.38,1.63,2.39,1.65,2.45,1.59,2.36
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Azarenka V.,Podoroska N.,24.0,191.0,1598.0,335.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.1,7.0,1.09,8.58,1.12,8.58,1.1,7.46
