Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Ferrero J.C.,Puerta M.,16,26,6.0,2.0,3.0,2.0,,,,,,,1,0,Retired
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Hewitt L.,Savolt A.,9,149,6.0,1.0,6.0,4.0,6.0,0.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Kafelnikov Y.,Grosjean S.,4,34,6.0,4.0,6.0,1.0,5.0,7.0,6.0,4.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Kuerten G.,Chang M.,5,33,6.0,3.0,6.0,7.0,6.0,1.0,6.0,4.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Lapentti N.,Ferreira W.,11,48,5.0,7.0,6.0,3.0,7.0,5.0,6.0,3.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Medvedev A.,Calleri A.,20,102,6.0,3.0,3.0,6.0,6.0,4.0,6.0,3.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Norman M.,Sargsian S.,3,60,6.0,4.0,6.0,1.0,6.0,2.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Philippoussis M.,Arazi H.,25,28,6.0,2.0,6.0,1.0,3.0,6.0,6.0,3.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Pioline C.,Portas A.,6,66,6.0,4.0,6.0,3.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Safin M.,Haas T.,12,21,7.0,6.0,6.0,3.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Squillari F.,Kucera K.,45,40,6.0,1.0,6.0,4.0,4.0,6.0,6.0,4.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Vicente F.,Henman T.,31,13,7.0,5.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,3.0,3,2,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,4th Round,5,Corretja A.,Federer R.,10,54,7.0,5.0,7.0,6.0,6.0,2.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,4th Round,5,Costa A.,Hewitt L.,18,9,6.0,3.0,4.0,6.0,6.0,2.0,6.0,4.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,4th Round,5,Ferrero J.C.,Philippoussis M.,16,25,6.0,2.0,6.0,2.0,3.0,6.0,6.0,3.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,4th Round,5,Kafelnikov Y.,Vicente F.,4,31,5.0,7.0,6.0,3.0,5.0,7.0,7.0,6.0,8.0,6.0,3,2,Completed
